,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
205,LIHO,2010,Lincoln Home NHS,"354,125",,"$18,516,000.00","$18,178,000.00",285,"$7,796,000.00","$12,568,000.00",
206,LINC,2010,Lincoln Memorial,"6,042,315",,"$195,929,000.00","$179,377,000.00","2,138","$90,590,000.00","$148,495,000.00",
207,LIBI,2010,Little Bighorn Battlefield NM,"320,959",,"$11,175,000.00","$10,402,000.00",174,"$4,438,000.00","$7,401,000.00",
208,LIRI,2010,Little River Canyon NPRES,"192,576",,"$9,151,000.00","$8,686,000.00",149,"$3,141,000.00","$5,138,000.00",
209,CHSC,2010,Little Rock Central High School NHS,"49,740",,"$2,474,000.00","$2,303,000.00",38,"$1,118,000.00","$1,817,000.00",
210,LONG,2010,Longfellow House Washington's HQ NHS,"45,684",,"$2,272,000.00","$2,115,000.00",28,"$1,037,000.00","$1,684,000.00",
211,LOWE,2010,Lowell NHP,"540,475",,"$34,949,000.00","$32,529,000.00",435,"$15,947,000.00","$25,897,000.00",
212,LYJO,2010,Lyndon B. Johnson NHP,"112,680",,"$7,286,000.00","$6,782,000.00",93,"$2,911,000.00","$4,811,000.00",
213,MAWA,2010,Maggie L. Walker NHS,"12,331",,"$291,000.00","$154,000.00",2,"$74,000.00","$123,000.00",
214,MACA,2010,Mammoth Cave NP,"497,225","84,484","$32,841,000.00","$31,052,000.00",530,"$12,290,000.00","$19,826,000.00",
215,MANA,2010,Manassas NBP,"612,490",,"$8,267,000.00","$7,911,000.00",97,"$3,333,000.00","$5,462,000.00",
216,MANZ,2010,Manzanar NHS,"76,592",,"$7,565,000.00","$7,518,000.00",87,"$2,351,000.00","$3,887,000.00",
217,MABI,2010,Marsh-Billings-Rockefeller NHP,"31,209",,"$1,552,000.00","$1,445,000.00",21,"$617,000.00","$1,016,000.00",
218,MALU,2010,"Martin Luther King, Jr. NHP","658,452",,"$42,578,000.00","$39,629,000.00",532,"$19,950,000.00","$32,839,000.00",
219,MAVA,2010,Martin Van Buren NHS,"21,055",,"$418,000.00","$365,000.00",5,"$139,000.00","$219,000.00",
220,MABE,2010,Mary McLeod Bethune Council House NHS,"19,520",,"$633,000.00","$579,000.00",7,"$293,000.00","$480,000.00",
221,MEVE,2010,Mesa Verde NP,"559,712","95,496","$41,346,000.00","$39,597,000.00",560,"$14,816,000.00","$24,238,000.00",
222,MIMA,2010,Minute Man NHP,"1,073,748",,"$69,432,000.00","$64,624,000.00",865,"$31,682,000.00","$51,449,000.00",
223,MIMI,2010,Minuteman Missile NHS,"42,348",,"$2,811,000.00","$2,811,000.00",46,"$1,137,000.00","$1,881,000.00",
224,MNRR,2010,Missouri NRR,"167,301",,"$7,950,000.00","$7,546,000.00",156,"$2,325,000.00","$3,800,000.00",
225,MOJA,2010,Mojave NPRES,"600,897","1,744","$12,891,000.00","$11,255,000.00",142,"$5,078,000.00","$8,236,000.00",
226,MONO,2010,Monocacy NB,"33,313",,"$2,399,000.00","$2,227,000.00",27,"$1,071,000.00","$1,782,000.00",
227,MOCA,2010,Montezuma Castle NM,"578,554",,"$28,778,000.00","$26,785,000.00",415,"$13,872,000.00","$23,113,000.00",
228,MOCR,2010,Moores Creek NB,"51,326",271,"$1,783,000.00","$1,660,000.00",29,"$678,000.00","$1,140,000.00",
229,MORR,2010,Morristown NHP,"278,392",,"$13,848,000.00","$12,889,000.00",168,"$6,401,000.00","$10,482,000.00",
230,MORA,2010,Mount Rainier NP,"1,191,754","172,838","$35,389,000.00","$33,696,000.00",484,"$14,150,000.00","$22,832,000.00",
231,MORU,2010,Mount Rushmore NMEM,"2,331,237",,"$77,157,000.00","$72,619,000.00","1,174","$27,975,000.00","$45,607,000.00",
232,MUWO,2010,Muir Woods NM,"834,356",,"$53,952,000.00","$50,216,000.00",643,"$27,440,000.00","$45,733,000.00",
233,NATC,2010,Natchez NHP,"206,870",,"$10,290,000.00","$9,577,000.00",136,"$3,015,000.00","$5,027,000.00",
234,NATR,2010,Natchez Trace PKWY,"5,910,950","21,201","$88,326,000.00","$32,079,000.00",454,"$9,959,000.00","$15,958,000.00",
235,NCPE,2010,National Capital Parks East,"1,363,389",,"$44,210,000.00","$40,475,000.00",482,"$20,441,000.00","$33,507,000.00",
236,NCPE,2010,National Capital Parks East,"1,181,960",,"$38,326,000.00","$35,089,000.00",418,"$17,721,000.00","$29,048,000.00",
237,NABR,2010,Natural Bridges NM,"95,676","5,781","$4,828,000.00","$4,507,000.00",64,"$1,410,000.00","$2,346,000.00",
238,NAVA,2010,Navajo NM,"90,696","2,933","$4,538,000.00","$4,230,000.00",56,"$1,504,000.00","$2,443,000.00",
239,NEBE,2010,New Bedford Whaling NHP,"277,681",,"$12,215,000.00","$12,215,000.00",202,"$6,461,000.00","$10,587,000.00",
240,JAZZ,2010,New Orleans Jazz NHP,"80,195",,"$3,989,000.00","$3,713,000.00",53,"$1,862,000.00","$3,098,000.00",
241,NERI,2010,New River Gorge NP & PRES,"1,151,213","10,008","$46,023,000.00","$43,266,000.00",553,"$10,761,000.00","$16,934,000.00",
242,NEPE,2010,Nez Perce NHP,"193,000",,"$6,720,000.00","$6,255,000.00",106,"$2,362,000.00","$3,840,000.00",
243,NICO,2010,Nicodemus NHS,"3,448",,"$156,000.00","$152,000.00",2,"$37,000.00","$57,000.00",
244,NISI,2010,Ninety Six NHS,"63,747",,"$3,171,000.00","$2,951,000.00",48,"$1,013,000.00","$1,654,000.00",
245,NIOB,2010,Niobrara NSR,"69,705",,"$3,312,000.00","$3,144,000.00",65,"$969,000.00","$1,583,000.00",
246,NOAT,2010,Noatak NPRES,"3,257",540,"$1,026,000.00","$1,026,000.00",12,"$393,000.00","$672,000.00",
247,NOCA,2010,North Cascades NP,"24,659","17,801","$1,535,000.00","$1,474,000.00",21,"$770,000.00","$1,289,000.00",
248,OBRI,2010,Obed W&SR,"180,203","1,269","$7,692,000.00","$6,727,000.00",105,"$2,466,000.00","$3,945,000.00",
249,OCMU,2010,Ocmulgee Mounds NHP,"109,413",,"$5,442,000.00","$5,065,000.00",88,"$2,166,000.00","$3,558,000.00",
250,OLYM,2010,Olympic NP,"2,844,563","300,891","$103,099,000.00","$94,596,000.00","1,395","$34,906,000.00","$57,102,000.00",
251,ORCA,2010,Oregon Caves NM & PRES,"86,335","6,560","$4,113,000.00","$3,829,000.00",62,"$1,559,000.00","$2,529,000.00",
252,ORPI,2010,Organ Pipe Cactus NM,"209,602","23,690","$10,692,000.00","$10,007,000.00",156,"$5,182,000.00","$8,624,000.00",
253,OZAR,2010,Ozark NSR,"1,416,529","173,952","$63,351,000.00","$56,183,000.00",888,"$19,332,000.00","$30,592,000.00",
254,PAIS,2010,Padre Island NS,"612,716","67,261","$41,287,000.00","$39,292,000.00",640,"$16,806,000.00","$27,603,000.00",
255,PAAL,2010,Palo Alto Battlefield NHP,"26,865",,"$935,000.00","$871,000.00",15,"$356,000.00","$581,000.00",
256,PERI,2010,Pea Ridge NMP,"115,128",,"$5,727,000.00","$5,330,000.00",96,"$1,747,000.00","$2,875,000.00",
257,PECO,2010,Pecos NHP,"33,864",,"$736,000.00","$712,000.00",11,"$319,000.00","$524,000.00",
258,PAAV,2010,Pennsylvania Avenue NHS,"262,030",,"$8,497,000.00","$7,779,000.00",93,"$3,929,000.00","$6,440,000.00",
259,PEVI,2010,Perry's Victory & Intl. Peace MEM,"92,944","1,685","$7,150,000.00","$7,150,000.00",145,"$3,494,000.00","$5,686,000.00",
260,PETE,2010,Petersburg NB,"175,553",,"$8,732,000.00","$8,127,000.00",137,"$3,447,000.00","$5,783,000.00",
261,PEFO,2010,Petrified Forest NP,"664,725",300,"$45,120,000.00","$42,830,000.00",641,"$14,963,000.00","$24,659,000.00",
262,PETR,2010,Petroglyph NM,"105,643",,"$4,399,000.00","$3,576,000.00",62,"$1,715,000.00","$2,846,000.00",
263,PIRO,2010,Pictured Rocks NL,"499,281","28,855","$20,955,000.00","$20,596,000.00",339,"$5,297,000.00","$8,615,000.00",
264,PINN,2010,Pinnacles NP,"246,575","10,360","$4,836,000.00","$4,034,000.00",48,"$1,782,000.00","$2,928,000.00",
265,PISP,2010,Pipe Spring NM,"59,952",,"$2,982,000.00","$2,776,000.00",39,"$1,049,000.00","$1,706,000.00",
266,PIPE,2010,Pipestone NM,"78,108",,"$3,362,000.00","$3,264,000.00",56,"$1,438,000.00","$2,363,000.00",
267,PISC,2010,Piscataway Park,"248,314",,"$8,052,000.00","$7,372,000.00",88,"$3,723,000.00","$6,103,000.00",
268,PORE,2010,Point Reyes NS,"2,067,271","39,421","$84,725,000.00","$77,224,000.00",981,"$41,182,000.00","$67,880,000.00",
269,PRPA,2010,President's Park,"616,635",,"$19,995,000.00","$18,306,000.00",218,"$9,245,000.00","$15,154,000.00",
270,PRWI,2010,Prince William Forest Park,"386,521","49,050","$20,715,000.00","$15,517,000.00",185,"$7,775,000.00","$12,005,000.00",
271,PUHO,2010,Pu'uhonua o Honaunau NHP,"419,590",,"$20,871,000.00","$19,426,000.00",269,"$9,233,000.00","$15,303,000.00",
272,PUHE,2010,Pu'ukohola Heiau NHS,"129,886",,"$6,461,000.00","$6,013,000.00",83,"$2,858,000.00","$4,737,000.00",
273,RABR,2010,Rainbow Bridge NM,"104,501",,"$5,198,000.00","$4,838,000.00",62,"$1,687,000.00","$2,719,000.00",
274,REDW,2010,Redwood NP,"418,820","7,479","$20,717,000.00","$18,693,000.00",268,"$6,565,000.00","$10,453,000.00",
275,RICH,2010,Richmond NBP,"130,415",,"$9,194,000.00","$8,293,000.00",134,"$4,042,000.00","$6,700,000.00",
276,RIGR,2010,Rio Grande W&SR,"1,103","6,046","$121,000.00","$119,000.00",2,"$36,000.00","$60,000.00",
277,ROCR,2010,Rock Creek Park,"1,883,457",,"$61,073,000.00","$55,914,000.00",666,"$28,238,000.00","$46,288,000.00",
278,ROMO,2010,Rocky Mountain NP,"2,955,821","174,202","$170,804,000.00","$170,804,000.00","2,641","$77,625,000.00","$129,666,000.00",
279,ROWI,2010,Roger Williams NMEM,"51,559",,"$3,334,000.00","$3,103,000.00",49,"$1,653,000.00","$2,674,000.00",
280,RUCA,2010,Russell Cave NM,"23,374",,"$1,163,000.00","$1,082,000.00",18,"$363,000.00","$589,000.00",
281,SAHI,2010,Sagamore Hill NHS,"55,149",,"$3,566,000.00","$3,319,000.00",42,"$1,726,000.00","$2,820,000.00",
282,SAGU,2010,Saguaro NP,"717,614","1,568","$24,161,000.00","$16,752,000.00",229,"$6,426,000.00","$10,477,000.00",
283,SACN,2010,Saint Croix NSR,"188,400","25,884","$5,660,000.00","$4,990,000.00",80,"$2,166,000.00","$3,534,000.00",
284,SAPA,2010,Saint Paul's Church NHS,"16,362",,"$1,058,000.00","$985,000.00",11,"$551,000.00","$898,000.00",
285,SAGA,2010,Saint-Gaudens NHP,"30,941",,"$1,169,000.00","$1,076,000.00",17,"$477,000.00","$790,000.00",
286,SAMA,2010,Salem Maritime NHS,"806,506",,"$52,151,000.00","$48,540,000.00",642,"$21,185,000.00","$34,276,000.00",
287,SAPU,2010,Salinas Pueblo Missions NM,"32,941",,"$847,000.00","$816,000.00",13,"$373,000.00","$614,000.00",
288,SAAN,2010,San Antonio Missions NHP,"1,304,690",,"$50,961,000.00","$45,622,000.00",701,"$21,159,000.00","$34,908,000.00",
289,SAFR,2010,San Francisco Maritime NHP,"4,130,970","10,946","$86,294,000.00","$63,899,000.00",675,"$30,842,000.00","$50,167,000.00",
290,SAJH,2010,San Juan Island NHP,"263,370",,"$17,030,000.00","$15,851,000.00",209,"$5,949,000.00","$9,819,000.00",
291,SAJU,2010,San Juan NHS,"1,105,252",,"$54,976,000.00","$51,169,000.00",781,"$18,624,000.00","$30,436,000.00",
292,SAMO,2010,Santa Monica Mountains NRA,"568,371",144,"$22,915,000.00","$15,196,000.00",202,"$7,572,000.00","$12,436,000.00",
293,SARA,2010,Saratoga NHP,"63,719",,"$2,219,000.00","$2,065,000.00",28,"$776,000.00","$1,249,000.00",
294,SAIR,2010,Saugus Iron Works NHS,"10,775",,"$697,000.00","$648,000.00",8,"$349,000.00","$563,000.00",
295,SCBL,2010,Scotts Bluff NM,"133,795",,"$4,318,000.00","$3,519,000.00",65,"$1,326,000.00","$2,102,000.00",
296,SEQU,2010,Sequoia NP,"1,320,156","438,677","$97,012,000.00","$89,408,000.00","1,283","$37,299,000.00","$60,504,000.00",
297,SHEN,2010,Shenandoah NP,"1,253,386","301,700","$71,751,000.00","$63,347,000.00",968,"$25,199,000.00","$41,107,000.00",
298,SHIL,2010,Shiloh NMP,"317,046",,"$11,039,000.00","$10,275,000.00",169,"$3,774,000.00","$6,295,000.00",
299,SITK,2010,Sitka NHP,"189,176",,"$3,784,000.00","$3,739,000.00",49,"$1,594,000.00","$2,704,000.00",
300,SLBE,2010,Sleeping Bear Dunes NL,"1,280,932","116,382","$120,482,000.00","$117,346,000.00","2,070","$54,605,000.00","$92,417,000.00",
301,SPAR,2010,Springfield Armory NHS,"16,876",,"$1,091,000.00","$1,016,000.00",15,"$521,000.00","$847,000.00",
302,STLI,2010,Statue of Liberty NM,"3,833,288",,"$166,402,000.00","$149,929,000.00","1,724","$81,161,000.00","$132,772,000.00",
303,STEA,2010,Steamtown NHS,"104,855",,"$3,651,000.00","$3,398,000.00",57,"$1,582,000.00","$2,541,000.00",
304,STRI,2010,Stones River NB,"187,559",,"$9,329,000.00","$8,683,000.00",133,"$4,616,000.00","$7,583,000.00",
305,SUCR,2010,Sunset Crater Volcano NM,"158,819",,"$7,900,000.00","$7,353,000.00",97,"$2,691,000.00","$4,338,000.00",
306,TAPR,2010,Tallgrass Prairie NPRES,"22,047",,"$1,048,000.00","$994,000.00",16,"$308,000.00","$498,000.00",
307,THKO,2010,Thaddeus Kosciuszko NMEM,"2,888",,"$187,000.00","$174,000.00",3,"$97,000.00","$159,000.00",
308,THRB,2010,Theodore Roosevelt Birthplace NHS,"15,029",,"$972,000.00","$905,000.00",10,"$506,000.00","$825,000.00",
309,THRI,2010,Theodore Roosevelt Inaugural NHS,"17,491",,"$1,131,000.00","$1,053,000.00",17,"$497,000.00","$796,000.00",
310,THIS,2010,Theodore Roosevelt Island,"116,035",,"$7,503,000.00","$6,984,000.00",83,"$3,452,000.00","$5,571,000.00",
311,THRO,2010,Theodore Roosevelt NP,"623,748","28,868","$29,562,000.00","$28,094,000.00",503,"$10,127,000.00","$16,337,000.00",
312,EDIS,2010,Thomas Edison NHP,"63,009",,"$4,074,000.00","$3,792,000.00",49,"$1,951,000.00","$3,193,000.00",
313,JEFM,2010,Thomas Jefferson MEM,"2,305,856",,"$74,770,000.00","$68,453,000.00",816,"$34,571,000.00","$56,668,000.00",
314,THST,2010,Thomas Stone NHS,"6,004",,"$388,000.00","$361,000.00",5,"$137,000.00","$226,000.00",
315,TICA,2010,Timpanogos Cave NM,"120,241",,"$7,775,000.00","$7,237,000.00",124,"$3,647,000.00","$5,996,000.00",
316,TIMU,2010,Timucuan EHP,"993,948",,"$50,804,000.00","$39,677,000.00",616,"$19,560,000.00","$32,181,000.00",
317,TONT,2010,Tonto NM,"60,497",,"$3,009,000.00","$2,801,000.00",44,"$1,476,000.00","$2,465,000.00",
318,TUMA,2010,Tumacacori NHP,"39,866",,"$1,388,000.00","$1,292,000.00",18,"$520,000.00","$851,000.00",
319,TUAI,2010,Tuskegee Airmen NHS,"60,827",,"$3,026,000.00","$2,816,000.00",45,"$938,000.00","$1,527,000.00",
320,TUIN,2010,Tuskegee Institute NHS,"23,230",,"$1,155,000.00","$1,075,000.00",17,"$358,000.00","$583,000.00",
321,TUZI,2010,Tuzigoot NM,"103,274",,"$5,137,000.00","$4,781,000.00",74,"$2,476,000.00","$4,126,000.00",
322,ULSG,2010,Ulysses S. Grant NHS,"39,967",,"$2,584,000.00","$2,405,000.00",37,"$1,070,000.00","$1,739,000.00",
323,UPDE,2010,Upper Delaware S&RR,"306,468",,"$9,139,000.00","$7,987,000.00",111,"$2,927,000.00","$4,738,000.00",
324,VAFO,2010,Valley Forge NHP,"1,617,511",750,"$58,195,000.00","$41,560,000.00",631,"$24,681,000.00","$40,781,000.00",
325,VAMA,2010,Vanderbilt Mansion NHS,"390,525",,"$5,674,000.00","$3,313,000.00",45,"$1,332,000.00","$2,151,000.00",
326,VICK,2010,Vicksburg NMP,"581,459",,"$28,922,000.00","$26,920,000.00",420,"$11,264,000.00","$18,301,000.00",
327,VIVE,2010,Vietnam Veterans MEM,"4,555,371",,"$147,713,000.00","$135,234,000.00","1,612","$68,297,000.00","$111,952,000.00",
328,VIIS,2010,Virgin Islands NP,"493,477","87,981","$61,123,000.00","$61,123,000.00","1,084","$25,077,000.00","$40,089,000.00",
329,VOYA,2010,Voyageurs NP,"253,891","90,701","$11,934,000.00","$11,426,000.00",193,"$4,355,000.00","$7,047,000.00",
330,WACA,2010,Walnut Canyon NM,"126,552",,"$6,295,000.00","$5,859,000.00",77,"$2,144,000.00","$3,457,000.00",
331,WAPA,2010,War in the Pacific NHP,"219,349",,"$7,637,000.00","$7,109,000.00",85,"$3,514,000.00","$5,670,000.00",
332,WAMO,2010,Washington Monument,"628,665",,"$20,385,000.00","$18,663,000.00",222,"$9,425,000.00","$15,450,000.00",
333,WABA,2010,Washita Battlefield NHS,"12,552",,"$489,000.00","$460,000.00",8,"$153,000.00","$252,000.00",
334,WEFA,2010,Weir Farm NHP,"19,313",,"$1,249,000.00","$1,162,000.00",13,"$590,000.00","$965,000.00",
335,WHIS,2010,Whiskeytown NRA,"788,065","44,789","$32,774,000.00","$28,653,000.00",420,"$11,504,000.00","$18,340,000.00",
336,WHHO,2010,White House,"922,335",,"$29,908,000.00","$27,381,000.00",326,"$13,828,000.00","$22,667,000.00",
337,WHSA,2010,White Sands NP,"470,921","1,811","$16,427,000.00","$16,109,000.00",250,"$5,157,000.00","$8,552,000.00",
338,WHMI,2010,Whitman Mission NHS,"58,521",,"$2,038,000.00","$1,897,000.00",29,"$721,000.00","$1,176,000.00",
339,WIHO,2010,William Howard Taft NHS,"21,163",,"$1,368,000.00","$1,274,000.00",20,"$629,000.00","$1,023,000.00",
340,WICR,2010,Wilson's Creek NB,"185,200",,"$9,212,000.00","$8,574,000.00",157,"$3,922,000.00","$6,343,000.00",
341,WICA,2010,Wind Cave NP,"577,141","3,263","$51,500,000.00","$51,500,000.00",925,"$22,350,000.00","$37,231,000.00",
342,WOTR,2010,Wolf Trap NP for the Performing Arts,"520,397",,"$33,651,000.00","$31,320,000.00",373,"$15,482,000.00","$24,983,000.00",
343,WORI,2010,Women's Rights NHP,"22,662",,"$623,000.00","$623,000.00",7,"$182,000.00","$282,000.00",
344,WWII,2010,World War II Memorial,"3,964,351",,"$128,549,000.00","$117,689,000.00","1,403","$59,436,000.00","$97,427,000.00",
345,,2010,World War II Valor in the Pacific NM,"1,372,724",,"$53,619,000.00","$48,001,000.00",719,"$25,114,000.00","$41,525,000.00",
346,WRST,2010,Wrangell-St. Elias NP & PRES,"73,170",,"$3,242,000.00","$3,242,000.00",41,"$1,389,000.00","$2,407,000.00",
347,WRBR,2010,Wright Brothers NMEM,"476,200",,"$16,581,000.00","$15,432,000.00",251,"$6,531,000.00","$10,907,000.00",
348,WUPA,2010,Wupatki NM,"221,083",,"$10,997,000.00","$10,235,000.00",135,"$3,746,000.00","$6,039,000.00",
349,YELL,2010,Yellowstone NP,"3,640,185","1,306,318","$334,445,000.00","$334,445,000.00","4,881","$135,847,000.00","$225,635,000.00",
350,YOSE,2010,Yosemite NP,"3,901,408","1,720,909","$354,689,000.00","$350,244,000.00","4,602","$132,465,000.00","$215,932,000.00",
351,YUCH,2010,Yukon-Charley Rivers NPRES,"6,211","7,102","$3,569,000.00","$3,569,000.00",40,"$1,385,000.00","$2,398,000.00",
352,ZION,2010,Zion NP,"2,665,972","304,208","$123,727,000.00","$122,606,000.00","2,136","$53,476,000.00","$85,771,000.00",
353,ABLI,2011,Abraham Lincoln Birthplace NHP,"163,568",,"$6,061,000.00","$5,636,000.00",94,"$2,566,000.00","$4,334,000.00",
354,ACAD,2011,Acadia NP,"2,374,645","153,798","$186,180,000.00","$183,325,000.00","2,970","$72,808,000.00","$126,167,000.00",
355,ADAM,2011,Adams NHP,"219,975",,"$15,139,000.00","$14,076,000.00",172,"$6,911,000.00","$11,458,000.00",
356,AFBG,2011,African Burial Ground NM,"108,585",,"$7,407,000.00","$6,866,000.00",77,"$3,715,000.00","$6,165,000.00",
357,AGFO,2011,Agate Fossil Beds NM,"11,617",,"$760,000.00","$754,000.00",12,"$225,000.00","$406,000.00",
358,ALFL,2011,Alibates Flint Quarries NM,"3,214",,"$170,000.00","$158,000.00",2,"$48,000.00","$93,000.00",
359,ALPO,2011,Allegheny Portage Railroad NHS,"118,410",,"$6,268,000.00","$5,828,000.00",88,"$1,958,000.00","$3,700,000.00",
360,AMIS,2011,Amistad NRA,"1,436,759","32,078","$44,428,000.00","$38,658,000.00",522,"$9,975,000.00","$20,428,000.00",
361,ANDE,2011,Andersonville NHS,"108,812",,"$4,032,000.00","$3,749,000.00",57,"$1,284,000.00","$2,456,000.00",
362,ANJO,2011,Andrew Johnson NHS,"52,322",,"$2,770,000.00","$2,575,000.00",41,"$1,028,000.00","$1,838,000.00",
363,ANIA,2011,Aniakchak NM & PRES,57,156,"$21,000.00","$21,000.00",,"$7,000.00","$13,000.00",
364,ANTI,2011,Antietam NB,"384,987",,"$20,018,000.00","$17,996,000.00",243,"$8,813,000.00","$15,021,000.00",
365,APIS,2011,Apostle Islands NL,"176,040","24,014","$20,929,000.00","$20,477,000.00",358,"$6,946,000.00","$12,383,000.00",
366,APCO,2011,Appomattox Court House NHP,"258,917",,"$13,707,000.00","$12,744,000.00",186,"$4,256,000.00","$8,079,000.00",
367,ARCH,2011,Arches NP,"1,040,758","50,915","$113,722,000.00","$113,722,000.00","1,638","$33,855,000.00","$65,849,000.00",
368,ARPO,2011,Arkansas Post NMEM,"37,127",,"$1,376,000.00","$1,279,000.00",20,"$350,000.00","$645,000.00",
369,ARHO,2011,Arlington House The R.E. Lee MEM,"576,816",,"$39,697,000.00","$36,910,000.00",396,"$15,681,000.00","$26,077,000.00",
370,ASIS,2011,Assateague Island NS,"2,105,419","74,712","$151,195,000.00","$143,513,000.00","1,957","$48,550,000.00","$93,783,000.00",
371,AZRU,2011,Aztec Ruins NM,"41,106",,"$1,380,000.00","$1,337,000.00",17,"$392,000.00","$736,000.00",
372,BADL,2011,Badlands NP,"870,741","44,576","$22,203,000.00","$22,203,000.00",317,"$7,302,000.00","$12,064,000.00",
373,BAND,2011,Bandelier NM,"193,914","9,300","$9,218,000.00","$8,908,000.00",135,"$3,461,000.00","$5,941,000.00",
374,BEOL,2011,Bent's Old Fort NHS,"26,842",,"$995,000.00","$925,000.00",12,"$220,000.00","$468,000.00",
375,BELA,2011,Bering Land Bridge NPRES,"1,890","1,503","$652,000.00","$652,000.00",7,"$219,000.00","$392,000.00",
376,BIBE,2011,Big Bend NP,"361,862","148,799","$16,703,000.00","$15,914,000.00",225,"$4,508,000.00","$9,167,000.00",
377,BICY,2011,Big Cypress NPRES,"941,393","19,957","$117,467,000.00","$114,919,000.00","1,891","$66,660,000.00","$111,384,000.00",
378,BIHO,2011,Big Hole NB,"36,290",,"$1,345,000.00","$1,250,000.00",19,"$376,000.00","$709,000.00",
379,BISO,2011,Big South Fork NRRA,"606,579","57,071","$26,116,000.00","$22,752,000.00",343,"$5,322,000.00","$10,777,000.00",
380,BITH,2011,Big Thicket NPRES,"137,722","1,891","$9,891,000.00","$9,382,000.00",138,"$4,755,000.00","$8,248,000.00",
381,BICA,2011,Bighorn Canyon NRA,"201,010","9,278","$6,261,000.00","$5,463,000.00",80,"$1,930,000.00","$3,383,000.00",
382,BISC,2011,Biscayne NP,"476,077","13,985","$34,317,000.00","$33,927,000.00",416,"$14,322,000.00","$24,337,000.00",
383,BLCA,2011,Black Canyon of the Gunnison NP,"168,336","18,118","$8,436,000.00","$8,022,000.00",106,"$2,108,000.00","$4,448,000.00",
384,BLRI,2011,Blue Ridge PKWY,"15,382,447","132,863","$340,085,000.00","$310,686,000.00","4,379","$73,568,000.00","$145,708,000.00",
